method,algorithm,seed,scenario,safety_mode,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
cql_ood_warning,cql,2,cold_wave_extreme,ood_warning,1,54.38475463232764,450227.9644122296,450227.9644122296,63.94713149343146,54.38475463232764,1.0,0.0,0.0,0.28043333333371834,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,2,cold_wave_extreme,fixed,1,55.51887959488241,16683.941252789955,16683.941252789955,20.420528714558106,1.247762284606324e-07,0.0,0.568757855022947,0.5375233702062155,164.65435833333686,0.75,0.25,0.0,0.75
cql_adaptive_safety,cql,2,cold_wave_extreme,adaptive,1,55.55038045687989,16359.791802182024,16359.791802182024,11.826542676238898,1.58942773609283e-07,0.0,0.5022033519732455,0.4742520507112329,175.64224999999567,0.75,0.25,0.75,0.0
cql,cql,2,compound_extreme,none,1,68.62193828914482,571414.8157114465,571414.8157114465,75.18543931536992,68.62193828914482,1.0,0.0,0.0,0.2609500000012588,0.0,1.0,0.0,0.0
cql_ood_warning,cql,2,compound_extreme,ood_warning,1,68.62193828914482,571414.8157114465,571414.8157114465,75.18543931536992,68.62193828914482,1.0,0.0,0.0,0.2278500000005105,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,2,compound_extreme,fixed,1,69.28931268612091,25649.35437622734,25649.35437622734,33.45385725069147,2.151397282545986e-09,0.0,0.7090424373745918,0.6543169978088764,147.4370750000003,0.75,0.25,0.0,0.75
cql_adaptive_safety,cql,2,compound_extreme,adaptive,1,69.35103614651767,25173.275077037473,25173.275077037473,20.708797143366468,2.5313450890962486e-07,0.0,0.6051207445561886,0.5564587553611356,164.03918333333323,0.75,0.25,0.75,0.0
cql,cql,3,in_distribution,none,1,2.2429476490418843,31520.02664736013,31520.02664736013,31.63393139292195,2.2429476490418843,1.0,0.0,0.0,0.23603333333473606,0.0,1.0,0.0,0.0
cql_ood_warning,cql,3,in_distribution,ood_warning,1,2.2429476490418843,31520.02664736013,31520.02664736013,31.63393139292195,2.2429476490418843,1.0,0.0,0.0,0.2354749999990228,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,3,in_distribution,fixed,1,2.156037304858737,13859.75622684651,13859.75622684651,38.34372073778825,0.0,0.0,0.06355864057938258,0.06084853643702203,414.1059583333385,0.20833333333333334,0.7916666666666666,0.0,0.20833333333333334
