method,scenario,metric,n,mean,std,ci95_half_width,ci95_low,ci95_high
iql,cold_wave_extreme,mean_episode_cost_eur,5,480323.1272099017,100906.64392702503,125292.14694375372,355030.980266148,605615.2741536554
iql,cold_wave_extreme,mean_episode_hard_safety_cost,5,58.205365424491355,12.69083409544015,15.757751803484897,42.447613621006454,73.96311722797626
iql,cold_wave_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
iql,compound_extreme,mean_episode_cost_eur,5,620851.4523815258,101810.91412538687,126414.94669370817,494436.5056878176,747266.399075234
iql,compound_extreme,mean_episode_hard_safety_cost,5,74.89056703743897,12.782706750768384,15.871826772025347,59.018740265413626,90.76239380946431
iql,compound_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
iql,in_distribution,mean_episode_cost_eur,5,45033.55653820626,39190.46954367575,48661.395105083364,-3627.8385668771007,93694.95164328962
iql,in_distribution,mean_episode_hard_safety_cost,5,3.926735332677649,4.968071873888273,6.168675986295791,-2.2419406536181423,10.09541131897344
iql,in_distribution,unsafe_episode_rate,5,0.8,0.4472135954999579,0.5552890210395597,0.24471097896044036,1.3552890210395598
iql,load_up_20,mean_episode_cost_eur,5,177661.84801807726,90577.1444326113,112466.37930207617,65195.468716001094,290128.22732015344
iql,load_up_20,mean_episode_hard_safety_cost,5,20.123465519207027,11.393423716806222,14.14680404543923,5.9766614737677966,34.270269564646256
iql,load_up_20,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
iql,price_spike_low_renewable,mean_episode_cost_eur,1,131464.68457240093,0.0,0.0,131464.68457240093,131464.68457240093
iql,price_spike_low_renewable,mean_episode_hard_safety_cost,1,11.327788172710164,0.0,0.0,11.327788172710164,11.327788172710164
iql,price_spike_low_renewable,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
iql,shoulder_season,mean_episode_cost_eur,1,21382.131671859643,0.0,0.0,21382.131671859643,21382.131671859643
iql,shoulder_season,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql,shoulder_season,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql,summer_peak,mean_episode_cost_eur,1,22128.811241142597,0.0,0.0,22128.811241142597,22128.811241142597
iql,summer_peak,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql,summer_peak,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql,three_day_low_renewable,mean_episode_cost_eur,1,501135.62328425597,0.0,0.0,501135.62328425597,501135.62328425597
iql,three_day_low_renewable,mean_episode_hard_safety_cost,1,59.34011937863522,0.0,0.0,59.34011937863522,59.34011937863522
iql,three_day_low_renewable,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
iql,warm_low_solar_zone,mean_episode_cost_eur,1,23704.60448281542,0.0,0.0,23704.60448281542,23704.60448281542
iql,warm_low_solar_zone,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql,warm_low_solar_zone,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql,year_2017_winter,mean_episode_cost_eur,1,508054.3543334526,0.0,0.0,508054.3543334526,508054.3543334526
iql,year_2017_winter,mean_episode_hard_safety_cost,1,60.10189602543843,0.0,0.0,60.10189602543843,60.10189602543843
iql,year_2017_winter,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
iql,year_2018_winter,mean_episode_cost_eur,1,276428.8821250168,0.0,0.0,276428.8821250168,276428.8821250168
iql,year_2018_winter,mean_episode_hard_safety_cost,1,32.111215693105365,0.0,0.0,32.111215693105365,32.111215693105365
iql,year_2018_winter,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
iql,year_2019_winter,mean_episode_cost_eur,1,100180.47772289526,0.0,0.0,100180.47772289526,100180.47772289526
iql,year_2019_winter,mean_episode_hard_safety_cost,1,9.979195065844277,0.0,0.0,9.979195065844277,9.979195065844277
iql,year_2019_winter,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
iql_adaptive_safety,cold_climate_zone,mean_episode_cost_eur,1,24312.024563405394,0.0,0.0,24312.024563405394,24312.024563405394
iql_adaptive_safety,cold_climate_zone,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,cold_climate_zone,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,cold_wave_device_fault,mean_episode_cost_eur,1,32515.7159066495,0.0,0.0,32515.7159066495,32515.7159066495
iql_adaptive_safety,cold_wave_device_fault,mean_episode_hard_safety_cost,1,2.9852268035313045e-07,0.0,0.0,2.9852268035313045e-07,2.9852268035313045e-07
iql_adaptive_safety,cold_wave_device_fault,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,cold_wave_extreme,mean_episode_cost_eur,5,16702.877995652332,804.6948431474228,999.1606162763817,15703.71737937595,17702.038611928714
iql_adaptive_safety,cold_wave_extreme,mean_episode_hard_safety_cost,5,1.2422811828116665e-07,1.4646645665576242e-07,1.8186212617393266e-07,-5.7634007892766e-08,3.060902444550993e-07
iql_adaptive_safety,cold_wave_extreme,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,compound_extreme,mean_episode_cost_eur,5,24535.666240400526,466.0510763567697,578.6788428363155,23956.98739756421,25114.34508323684
iql_adaptive_safety,compound_extreme,mean_episode_hard_safety_cost,5,2.26511697221099e-07,2.9565815209627796e-07,3.671080832334018e-07,-1.4059638601230283e-07,5.936197804545008e-07
iql_adaptive_safety,compound_extreme,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,in_distribution,mean_episode_cost_eur,5,13757.942449452607,503.86142311559485,625.6265891663492,13132.315860286257,14383.569038618956
iql_adaptive_safety,in_distribution,mean_episode_hard_safety_cost,5,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,in_distribution,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,load_up_20,mean_episode_cost_eur,5,17342.86466893637,586.9681134941371,728.8171746192525,16614.047494317118,18071.681843555623
iql_adaptive_safety,load_up_20,mean_episode_hard_safety_cost,5,1.404007534233642e-07,1.7388284217488047e-07,2.159040650338966e-07,-7.550331161053238e-08,3.5630481845726077e-07
iql_adaptive_safety,load_up_20,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,price_spike_low_renewable,mean_episode_cost_eur,1,42418.84377232978,0.0,0.0,42418.84377232978,42418.84377232978
iql_adaptive_safety,price_spike_low_renewable,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,price_spike_low_renewable,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,shoulder_season,mean_episode_cost_eur,1,21382.131671859643,0.0,0.0,21382.131671859643,21382.131671859643
iql_adaptive_safety,shoulder_season,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,shoulder_season,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,summer_peak,mean_episode_cost_eur,1,22128.811241142597,0.0,0.0,22128.811241142597,22128.811241142597
iql_adaptive_safety,summer_peak,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,summer_peak,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,three_day_low_renewable,mean_episode_cost_eur,1,29893.981726732825,0.0,0.0,29893.981726732825,29893.981726732825
iql_adaptive_safety,three_day_low_renewable,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,three_day_low_renewable,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,warm_low_solar_zone,mean_episode_cost_eur,1,23704.60448281542,0.0,0.0,23704.60448281542,23704.60448281542
iql_adaptive_safety,warm_low_solar_zone,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,warm_low_solar_zone,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,year_2017_winter,mean_episode_cost_eur,1,30089.844461552555,0.0,0.0,30089.844461552555,30089.844461552555
iql_adaptive_safety,year_2017_winter,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,year_2017_winter,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,year_2018_winter,mean_episode_cost_eur,1,20791.2983656461,0.0,0.0,20791.2983656461,20791.2983656461
iql_adaptive_safety,year_2018_winter,mean_episode_hard_safety_cost,1,1.5413897536120658e-07,0.0,0.0,1.5413897536120658e-07,1.5413897536120658e-07
iql_adaptive_safety,year_2018_winter,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,year_2019_winter,mean_episode_cost_eur,1,20854.74746558932,0.0,0.0,20854.74746558932,20854.74746558932
iql_adaptive_safety,year_2019_winter,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
iql_adaptive_safety,year_2019_winter,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
iql_fixed_safety,cold_wave_extreme,mean_episode_cost_eur,5,17331.574998732332,1163.3059484437902,1444.4351150789412,15887.139883653392,18776.010113811273
iql_fixed_safety,cold_wave_extreme,mean_episode_hard_safety_cost,5,9.51790866565716e-08,1.0729719022900687e-07,1.3322705821577876e-07,-3.8047971559207166e-08,2.2840614487235035e-07
iql_fixed_safety,cold_wave_extreme,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
iql_fixed_safety,compound_extreme,mean_episode_cost_eur,5,24885.113365227397,645.3550974866903,801.3141906065053,24083.79917462089,25686.427555833903
iql_fixed_safety,compound_extreme,mean_episode_hard_safety_cost,5,4.272772216040721e-08,4.436887384482466e-08,5.509123329396351e-08,-1.23635111335563e-08,9.781895545437071e-08
iql_fixed_safety,compound_extreme,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
iql_fixed_safety,in_distribution,mean_episode_cost_eur,5,13875.283806097945,417.8073853061333,518.776388518275,13356.507417579669,14394.06019461622
iql_fixed_safety,in_distribution,mean_episode_hard_safety_cost,5,0.0,0.0,0.0,0.0,0.0
iql_fixed_safety,in_distribution,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
iql_fixed_safety,load_up_20,mean_episode_cost_eur,5,18142.87687152341,743.8175392115877,923.5714596715469,17219.305411851863,19066.44833119496
iql_fixed_safety,load_up_20,mean_episode_hard_safety_cost,5,9.152434010673006e-08,1.3845889406255798e-07,1.719194239885875e-07,-8.039508388185743e-08,2.6344376409531755e-07
iql_fixed_safety,load_up_20,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
iql_ood_warning,cold_wave_extreme,mean_episode_cost_eur,5,480323.1272099017,100906.64392702503,125292.14694375372,355030.980266148,605615.2741536554
iql_ood_warning,cold_wave_extreme,mean_episode_hard_safety_cost,5,58.205365424491355,12.69083409544015,15.757751803484897,42.447613621006454,73.96311722797626
iql_ood_warning,cold_wave_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
iql_ood_warning,compound_extreme,mean_episode_cost_eur,5,620851.4523815258,101810.91412538687,126414.94669370817,494436.5056878176,747266.399075234
iql_ood_warning,compound_extreme,mean_episode_hard_safety_cost,5,74.89056703743897,12.782706750768384,15.871826772025347,59.018740265413626,90.76239380946431
iql_ood_warning,compound_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
iql_ood_warning,in_distribution,mean_episode_cost_eur,5,45033.55653820626,39190.46954367575,48661.395105083364,-3627.8385668771007,93694.95164328962
iql_ood_warning,in_distribution,mean_episode_hard_safety_cost,5,3.926735332677649,4.968071873888273,6.168675986295791,-2.2419406536181423,10.09541131897344
iql_ood_warning,in_distribution,unsafe_episode_rate,5,0.8,0.4472135954999579,0.5552890210395597,0.24471097896044036,1.3552890210395598
iql_ood_warning,load_up_20,mean_episode_cost_eur,5,177661.84801807726,90577.1444326113,112466.37930207617,65195.468716001094,290128.22732015344
iql_ood_warning,load_up_20,mean_episode_hard_safety_cost,5,20.123465519207027,11.393423716806222,14.14680404543923,5.9766614737677966,34.270269564646256
iql_ood_warning,load_up_20,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
